X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
-9.79999974e-02, 5.11999987e-03, 0.00000000e+00, 1.74182318e-02
-9.79999974e-02, 5.14000002e-03, 0.00000000e+00, 1.74158197e-02
-9.79999974e-02, 5.16000018e-03, 0.00000000e+00, 1.74134020e-02
-9.79999974e-02, 5.17999986e-03, 0.00000000e+00, 1.74109861e-02
-9.79999974e-02, 5.20000001e-03, 0.00000000e+00, 1.74085721e-02
-9.79999974e-02, 5.22000017e-03, 0.00000000e+00, 1.74061581e-02
-9.79999974e-02, 5.23999985e-03, 0.00000000e+00, 1.74035933e-02
-9.79999974e-02, 5.26000001e-03, 0.00000000e+00, 1.74006857e-02
-9.79999974e-02, 5.28000016e-03, 0.00000000e+00, 1.73977837e-02
-9.79999974e-02, 5.29999984e-03, 0.00000000e+00, 1.73948798e-02
-9.79999974e-02, 5.32000000e-03, 0.00000000e+00, 1.73919741e-02
-9.79999974e-02, 5.34000015e-03, 0.00000000e+00, 1.73890721e-02
-9.79999974e-02, 5.35999984e-03, 0.00000000e+00, 1.73861701e-02
-9.79999974e-02, 5.37999999e-03, 0.00000000e+00, 1.73832662e-02
-9.79999974e-02, 5.40000014e-03, 0.00000000e+00, 1.73803661e-02
-9.79999974e-02, 5.41999983e-03, 0.00000000e+00, 1.73774641e-02
-9.79999974e-02, 5.43999998e-03, 0.00000000e+00, 1.73745602e-02
-9.79999974e-02, 5.46000013e-03, 0.00000000e+00, 1.73716620e-02
-9.79999974e-02, 5.47999982e-03, 0.00000000e+00, 1.73687618e-02
-9.79999974e-02, 5.49999997e-03, 0.00000000e+00, 1.73658617e-02
-9.79999974e-02, 5.52000012e-03, 0.00000000e+00, 1.73629615e-02
-9.79999974e-02, 5.53999981e-03, 0.00000000e+00, 1.73600633e-02
-9.79999974e-02, 5.55999996e-03, 0.00000000e+00, 1.73571631e-02
-9.79999974e-02, 5.58000011e-03, 0.00000000e+00, 1.73542667e-02
-9.79999974e-02, 5.59999980e-03, 0.00000000e+00, 1.73513666e-02
-9.79999974e-02, 5.61999995e-03, 0.00000000e+00, 1.73484702e-02
-9.79999974e-02, 5.64000010e-03, 0.00000000e+00, 1.73455682e-02
-9.79999974e-02, 5.65999979e-03, 0.00000000e+00, 1.73426736e-02
-9.79999974e-02, 5.67999994e-03, 0.00000000e+00, 1.73397753e-02
-9.79999974e-02, 5.70000010e-03, 0.00000000e+00, 1.73368789e-02
-9.79999974e-02, 5.71999978e-03, 0.00000000e+00, 1.73339844e-02
-9.79999974e-02, 5.73999994e-03, 0.00000000e+00, 1.73310935e-02
-9.79999974e-02, 5.76000009e-03, 0.00000000e+00, 1.73281971e-02
-9.79999974e-02, 5.77999977e-03, 0.00000000e+00, 1.73253026e-02
-9.79999974e-02, 5.79999993e-03, 0.00000000e+00, 1.73214227e-02
-9.79999974e-02, 5.82000008e-03, 0.00000000e+00, 1.73175149e-02
-9.79999974e-02, 5.84000023e-03, 0.00000000e+00, 1.73136070e-02
-9.79999974e-02, 5.85999992e-03, 0.00000000e+00, 1.73096973e-02
-9.79999974e-02, 5.88000007e-03, 0.00000000e+00, 1.73057877e-02
-9.79999974e-02, 5.90000022e-03, 0.00000000e+00, 1.73018780e-02
-9.79999974e-02, 5.91999991e-03, 0.00000000e+00, 1.72979720e-02
-9.79999974e-02, 5.94000006e-03, 0.00000000e+00, 1.72940623e-02
-9.79999974e-02, 5.96000021e-03, 0.00000000e+00, 1.72901563e-02
-9.79999974e-02, 5.97999990e-03, 0.00000000e+00, 1.72862485e-02
-9.79999974e-02, 6.00000005e-03, 0.00000000e+00, 1.72823444e-02
-9.79999974e-02, 6.02000020e-03, 0.00000000e+00, 1.72784384e-02
-9.79999974e-02, 6.03999989e-03, 0.00000000e+00, 1.72745287e-02
-9.79999974e-02, 6.06000004e-03, 0.00000000e+00, 1.72706265e-02
-9.79999974e-02, 6.08000020e-03, 0.00000000e+00, 1.72667205e-02
-9.79999974e-02, 6.09999988e-03, 0.00000000e+00, 1.72628164e-02
-9.79999974e-02, 6.12000003e-03, 0.00000000e+00, 1.72593482e-02
-9.79999974e-02, 6.14000019e-03, 0.00000000e+00, 1.72559153e-02
-9.79999974e-02, 6.15999987e-03, 0.00000000e+00, 1.72524825e-02
-9.79999974e-02, 6.18000003e-03, 0.00000000e+00, 1.72490496e-02
-9.79999974e-02, 6.20000018e-03, 0.00000000e+00, 1.72456224e-02
-9.79999974e-02, 6.21999986e-03, 0.00000000e+00, 1.72421895e-02
-9.79999974e-02, 6.24000002e-03, 0.00000000e+00, 1.72387604e-02
-9.79999974e-02, 6.26000017e-03, 0.00000000e+00, 1.72353294e-02
-9.79999974e-02, 6.27999986e-03, 0.00000000e+00, 1.72319021e-02
